Table S2. Dual-mycorrhizal plants with confirmed occurrence of key mycorrhizal structures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Confirmed plant species with dual status,,,,,,,,,,,,,,,,,,,,,,,,,
Family,Genus,Woody (shrub or tree) taxa?,Estimated number of plant species1,Number of confirmed species,Spp1,Spp2,Spp3,Spp4,Spp5,Spp6,Spp7,Spp8,Spp9,Spp10,Spp11,Spp12,Spp13,Spp14,Spp15,Spp16,Spp17,Spp18,Spp19,Spp20,Spp21,Spp22,Spp23,Spp24,Spp25,
Myrtaceae,Leptospermum,yes,88,5,Leptospermum juniperinum,Leptospermum liversidgei,Leptospermum scoparium,Leptospermum myrsinoides,Leptospermum nitidum,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca,yes,356,6,Melaleuca lateritia,Melaleuca scabra,Melaleuca systena,Melaleuca uncinata,Melaleuca decussata,Melaleuca leuropoma,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Pericalymma,yes,4,1,Pericalymma ellipticum,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Pileanthus,yes,8,1,Pileanthus filifolius,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Psidium,yes,113,1,Psidium cattleyanum,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Thryptomene,yes,47,1,Thryptomene calycina,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Tristania,yes,1,1,Tristania beccarii,,,,,,,,,,,,,,,,,,,,,,,,,
Nyctaginaceae,Pisonia,yes,47,1,Pisonia grandis,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Fraxinus,yes,61,1,Fraxinus uhdei,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Syringa,yes,20,1,Syringa pekinensis,,,,,,,,,,,,,,,,,,,,,,,,,
Oweniidae,Owenia,yes,6,1,Owenia sp.,,,,,,,,,,,,,,,,,,,,,,,,,
